한글(국가명),영문(블룸버그),1차접종,2차접종,발생률순위,2차접종률순위,확진자비율(인구),일별접종수,치명(%),완치(%),발생률,인구수,치료중합계,치료중1일,위중증합계,위중증1일,확진자합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일,백신접종수,백신보유율(인구)
스리랑카,Sri Lanka,73.0,63.0,105.0,55.0,0.02625991039472805,-999.0,2.5,94.2,26260,21413249,18343.0,283.0,,732.0,562310,732.0,14305,27.0,529662.0,422.0,29650996.0,136.0
아일랜드,Ireland,77.8,76.5,33.0,22.0,0.11342208836105898,13.5,1.0,78.0,113422,4937786,117756.0,1184.0,117.0,3735.0,560054,3735.0,5652,,436646.0,2551.0,8067138.0,163.0
사우디아라비아,Saudi Arabia,72.1,65.6,113.0,49.0,0.015789539749831324,-999.0,1.6,98.0,15790,34813871,2006.0,-9.0,48.0,24.0,549695,24.0,8833,1.0,538856.0,32.0,47304264.0,138.8
볼리비아,Bolivia,42.0,34.2,92.0,107.0,0.045842031809931634,3.1,3.6,91.7,45842,11673021,25457.0,,220.0,,535115,,19137,,490521.0,,8517323.0,73.7
에콰도르,Ecuador,77.5,62.8,102.0,56.5,0.02972455902475841,1.6,6.3,84.6,29725,17643054,47424.0,,759.0,,524432,,33128,,443880.0,,24512438.0,142.0
미얀마,Myanmar,29.1,19.8,123.0,130.0,0.009579358865498495,-999.0,3.7,95.0,9579,54409800,6724.0,-167.0,,505.0,521211,505.0,19079,12.0,495408.0,660.0,25869176.0,49.0
덴마크,Denmark,78.4,76.6,62.0,21.0,0.08268478896281586,12.5,0.6,84.2,82685,5792202,72937.0,4281.0,51.0,4290.0,478927,4290.0,2872,9.0,403118.0,,9681985.0,166.8
파나마,Panama,72.7,68.2,37.0,40.0,0.11062150053525485,4.1,1.5,97.9,110622,4314767,2660.0,-4.0,20.0,210.0,477306,210.0,7361,1.0,467285.0,213.0,5944438.0,140.9
리투아니아,Lithuania,67.0,63.8,8.0,54.0,0.171877416394806,9.9,1.4,92.4,171877,2722289,29024.0,995.0,131.0,1292.0,467900,1292.0,6692,20.0,432184.0,277.0,3670008.0,131.9
파라과이,Paraguay,45.8,36.9,76.0,101.0,0.06490088100476997,1.2,3.6,96.3,64901,7132538,859.0,-51.0,42.0,53.0,462908,53.0,16461,2.0,445588.0,102.0,5921882.0,82.8
