국가명,eng_code,발생률,인구수,확진자_합계,백신접종,접종률(인구),발생률_순위,접종률_순위,확진자비율_전체인구,1차접종,2차접종,위중증,치명(%),완치(%),확진자1일,사망자합계,사망자1일,완치합계,완치1일,접종비율(일간)
케냐,Kenya,3925,53771296,211028,1793520.0,1.9,131.0,150.5,0.0039245474016471535,2.3,1.4,108,2.0,93.4,1205.0,4117,29.0,197029.0,1242.0,12220.0
대한민국,South Korea,4115,51269185,209227,28468856.0,27.5,127.0,78.5,0.004080950379843175,40.2,14.9,"377
+1",1.0,87.8,1823.0,2116,3.0,183789.0,1737.0,301333.0
잠비아,Zambia,10861,18383955,199662,478129.0,1.3,111.0,157.0,0.010860666271213132,1.8,1.0,"316
-27",1.7,96.1,527.0,3474,15.0,191836.0,672.0,6672.0
베트남,Vietnam,2113,97338579,197175,8528267.0,4.4,144.0,132.5,0.0020256613772839235,7.9,0.9,,1.5,31.6,8109.0,3016,296.0,62332.0,4292.0,370984.0
알제리,Algeria,4113,43851044,179216,75000.0,0.1,128.0,176.0,0.004086926641928982,-999.0,-999.0,"52
+17",2.5,66.9,1203.0,4487,46.0,119888.0,736.0,6248.0
나이지리아,Nigeria,862,206139589,177142,3938945.0,1.0,161.0,161.5,0.0008593303249479167,1.3,0.7,11,1.2,93.4,565.0,2181,3.0,165409.0,86.0,15212.0
몽골,Mongolia,52934,3278290,172069,4198321.0,63.7,62.0,21.0,0.05248742484649009,66.8,60.6,192,0.5,94.5,972.0,846,5.0,162678.0,2189.0,14662.0
키르기스스탄,Kyrgyzstan,25906,6524195,168415,635036.0,5.0,92.0,130.0,0.025813912674283953,7.9,2.1,195,1.4,92.3,681.0,2389,9.0,155447.0,1513.0,6968.0
북마케도니아,North Macedonia,75659,2083374,157627,932603.0,22.4,43.0,90.0,0.07565948312688936,25.2,19.7,,3.5,95.5,701.0,5503,2.0,150506.0,36.0,20545.0
아프가니스탄,Afghanistan,3865,38928346,150458,1442250.0,1.9,132.0,150.5,0.003864998528321753,2.1,1.8,1124,4.6,68.3,218.0,6908,10.0,102827.0,677.0,15209.0
노르웨이,Norway,25910,5421241,140204,5623984.0,52.5,91.0,44.0,0.025861975145543243,69.0,36.0,3,0.6,63.4,249.0,804,,88952.0,,46502.0
라트비아,Latvia,73877,1886198,139347,1383196.0,36.0,44.0,67.0,0.07387718574614117,41.0,36.5,"8
+1",1.8,97.5,63.0,2559,,135875.0,42.0,5104.0
우즈베키스탄,Uzbekistan,4082,33469203,135738,9554258.0,14.4,129.0,109.0,0.00405560897282197,19.4,4.0,23,0.7,95.2,912.0,923,7.0,129182.0,991.0,302796.0
에스토니아,Estonia,101731,1326535,134950,1167134.0,44.0,21.0,52.0,0.10173120196602427,50.0,43.6,"5
+2",0.9,96.0,230.0,1277,1.0,129595.0,173.0,5176.0
알바니아,Albania,46470,2877797,133591,1238036.0,21.6,70.0,91.5,0.04642127293898771,24.1,19.0,3,1.8,97.6,149.0,2458,1.0,130370.0,27.0,6741.0
모잠비크,Mozambique,4217,31255435,130526,714776.0,1.1,126.0,160.0,0.0041761056916981,1.3,1.0,32,1.2,78.0,1490.0,1566,28.0,101875.0,542.0,3391.0
보츠와나,Botswana,52123,2351627,122574,370626.0,7.8,63.0,124.0,0.0521230620332221,10.2,5.4,1,1.4,85.4,,1704,,104731.0,,11750.0
나미비아,Namibia,47548,2540905,120814,226109.0,4.6,69.0,131.0,0.04754762574751909,7.1,2.1,"73
+5",2.6,82.0,319.0,3182,24.0,99055.0,677.0,2100.0
짐바브웨,Zimbabwe,7797,14862924,115445,2604265.0,8.7,116.0,122.0,0.007767314157025899,11.7,5.8,12,3.3,74.9,956.0,3805,51.0,86526.0,1637.0,46085.0
