국가,치명(%),완치(%),발생률,인구수,치료중합계,치료중1일,위중증합계,위중증1일,확진자합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
방글라데시🇧🇩,1.8,97.7,9568,164689383,7489,-97,1384,+205,1575784,+205,27978,+3,1540317,+299
이스라엘🇮🇱,0.6,98.9,155032,8655535,6651,+338,128,+340,1341881,+340,8184,+2,1327046,
파키스탄🇵🇰,2.2,96.7,5814,220892340,13719,+126,946,+303,1284189,+303,28709,+5,1241761,+172
세르비아🇷🇸,0.9,94.8,143109,8737371,53260,-2930,209,+1674,1250393,+1674,11588,+51,1185545,+4553
베트남🇻🇳,2.1,79.2,12434,97338579,226822,+11034,6096,+12936,1210340,+12936,24882,+190,958636,+1712
스웨덴🇸🇪,1.3,N/A,118706,10099265,N/A,,32,,1198848,,15113,,N/A,
오스트리아🇦🇹,1.1,85.9,126941,9006398,148603,-3668,620,+10478,1143283,+10478,12388,+39,982292,+14107
포르투갈🇵🇹,1.6,93.9,112066,10196709,51689,+809,104,+3364,1139810,+3364,18405,+12,1069716,+2543
헝가리🇭🇺,3.2,80.7,110647,9660351,172488,,695,,1068888,,33866,,862534,
스위스🇨🇭,1.2,87.2,113499,8654622,114160,-1800,179,,982290,,11488,+2,856642,+1798
카자흐스탄🇰🇿,1.3,96.3,51665,18776707,23439,-48,528,+847,970092,+847,12667,+16,933986,+879
쿠바🇨🇺,0.9,99.0,84952,11326616,1028,-49,30,+183,962067,+183,8300,+1,952739,+231
모로코🇲🇦,1.6,98.1,25728,36910560,2991,-56,347,+116,949648,+116,14774,+1,931883,+171
요르단🇯🇴,1.2,93.5,92059,10203134,49622,,1037,,939293,,11515,,878156,
그리스🇬🇷,1.9,89.2,88331,10423054,81542,-1322,641,+5859,920683,+5859,17861,+82,821280,+7099
조지아🇬🇪,1.4,92.9,210229,3989167,47202,-1775,N/A,+3333,838639,+3333,11927,+56,779510,+5052
네팔🇳🇵,1.4,97.7,28173,29136808,6966,-190,N/A,+154,820878,+154,11523,+2,802389,+342
아랍에미레이트🇦🇪,0.3,99.3,75014,9890402,2994,-20,N/A,+60,741918,+60,2146,+1,736778,+79
튀니지🇹🇳,3.5,96.3,60681,11818619,1093,+38,58,+175,717163,+175,25363,+1,690707,+136
불가리아🇧🇬,4.1,80.7,99105,6948445,105142,+24,783,+1218,688628,+1218,28043,+47,555443,+1147
슬로바키아🇸🇰,2.1,81.7,122345,5459642,107815,+1725,545,+7575,667961,+7575,14274,+46,545872,+5804
레바논🇱🇧,1.3,94.7,97689,6825445,26773,+852,186,+1515,666768,+1515,8701,+8,631294,+655
벨라루스🇧🇾,0.8,98.0,68983,9449323,7941,-533,N/A,+1671,651839,+1671,5054,+13,638844,+2191
과테말라🇬🇹,2.6,97.1,34467,17915568,1752,-68,5,+458,617495,+458,15917,+19,599826,+507
크로아티아🇭🇷,1.8,92.5,146961,4105267,34326,-405,330,+8841,603316,+8841,10759,+115,558231,+9131
아제르바이잔🇦🇿,1.3,94.2,57774,10139177,26252,-747,N/A,+1662,585783,+1662,7807,+18,551724,+2391
코스타리카🇨🇷,1.3,96.0,111218,5094118,15398,,92,,566560,,7287,,543875,
스리랑카🇱🇰,2.5,94.2,26260,21413249,18343,+283,N/A,+732,562310,+732,14305,+27,529662,+422
아일랜드🇮🇪,1.0,78.0,113422,4937786,117756,+1184,117,+3735,560054,+3735,5652,,436646,+2551
사우디아라비아🇸🇦,1.6,98.0,15790,34813871,2006,-9,48,+24,549695,+24,8833,+1,538856,+32
볼리비아🇧🇴,3.6,91.7,45842,11673021,25457,,220,,535115,,19137,,490521,
에콰도르🇪🇨,6.3,84.6,29725,17643054,47424,,759,,524432,,33128,,443880,
미얀마🇲🇲,3.7,95.0,9579,54409800,6724,-167,N/A,+505,521211,+505,19079,+12,495408,+660
덴마크🇩🇰,0.6,84.2,82685,5792202,72937,+4281,51,+4290,478927,+4290,2872,+9,403118,
파나마🇵🇦,1.5,97.9,110622,4314767,2660,-4,20,+210,477306,+210,7361,+1,467285,+213
리투아니아🇱🇹,1.4,92.4,171877,2722289,29024,+995,131,+1292,467900,+1292,6692,+20,432184,+277
